key,value
"user:admin-001","{""id"":""admin-001"",""email"":""admin@crewtech.fr"",""name"":""Sophie Laurent"",""role"":""admin"",""type"":""admin"",""position"":""Operations Manager"",""phone"":""+33 1 42 34 56 78"",""address"":""15 Avenue Charles de Gaulle, 75008 Paris, France"",""ggid"":""ADM-001"",""created_at"":""2024-12-12T10:00:00Z"",""updated_at"":""2024-12-12T10:00:00Z"",""profile_complete"":true,""last_active"":""2024-12-12T10:00:00Z""}"
"user:internal-001","{""id"":""internal-001"",""email"":""internal@crewtech.fr"",""name"":""Pierre Dubois"",""role"":""internal"",""type"":""internal"",""position"":""Captain"",""phone"":""+33 1 45 67 89 12"",""address"":""8 Rue de la Paix, 75001 Paris, France"",""qualifications"":[""F-HBCD"",""F-GXYZ"",""F-HABC""],""ggid"":""INT-001"",""licenseNumber"":""ATPL-FR-54321"",""medicalExpiry"":""2025-12-15"",""passportNumber"":""FR987654321"",""availability"":""available"",""emergencyContact"":{""name"":""Marie Dubois"",""relationship"":""Spouse"",""phone"":""+33 1 98 76 54 32""},""created_at"":""2024-12-12T10:00:00Z"",""updated_at"":""2024-12-12T10:00:00Z"",""profile_complete"":true,""last_active"":""2024-12-12T10:00:00Z""}"
"user:freelancer-001","{""id"":""freelancer-001"",""email"":""freelancer@aviation.com"",""name"":""Lisa Anderson"",""role"":""freelancer"",""type"":""freelancer"",""position"":""Flight Attendant"",""phone"":""+33 6 12 34 56 78"",""address"":""42 Boulevard Saint-Germain, 75005 Paris, France"",""qualifications"":[""F-HBCD"",""F-GXYZ""],""ggid"":""FREE-001"",""licenseNumber"":""CCAF-FR-98765"",""medicalExpiry"":""2025-10-20"",""passportNumber"":""US123456789"",""availability"":""available"",""emergencyContact"":{""name"":""John Anderson"",""relationship"":""Brother"",""phone"":""+1 555 123 4567""},""created_at"":""2024-12-12T10:00:00Z"",""updated_at"":""2024-12-12T10:00:00Z"",""profile_complete"":true,""last_active"":""2024-12-12T10:00:00Z""}"
"user:freelancer-002","{""id"":""freelancer-002"",""email"":""captain@freelance.eu"",""name"":""Marco Rossi"",""role"":""freelancer"",""type"":""freelancer"",""position"":""Captain"",""phone"":""+39 340 123 4567"",""address"":""Via Roma 123, 20121 Milano, Italy"",""qualifications"":[""F-HABC"",""F-HDEF""],""ggid"":""FREE-002"",""licenseNumber"":""ATPL-IT-11223"",""medicalExpiry"":""2025-08-30"",""passportNumber"":""IT789456123"",""availability"":""available"",""emergencyContact"":{""name"":""Anna Rossi"",""relationship"":""Wife"",""phone"":""+39 340 987 6543""},""created_at"":""2024-12-12T10:00:00Z"",""updated_at"":""2024-12-12T10:00:00Z"",""profile_complete"":true,""last_active"":""2024-12-12T10:00:00Z""}"
"user:freelancer-003","{""id"":""freelancer-003"",""email"":""sarah@crewaviation.com"",""name"":""Sarah Mitchell"",""role"":""freelancer"",""type"":""freelancer"",""position"":""First Officer"",""phone"":""+44 7911 123456"",""address"":""15 Baker Street, London W1U 3AA, UK"",""qualifications"":[""F-GXYZ"",""F-HGHJ""],""ggid"":""FREE-003"",""licenseNumber"":""ATPL-UK-45678"",""medicalExpiry"":""2025-11-10"",""passportNumber"":""GB456789123"",""availability"":""available"",""emergencyContact"":{""name"":""David Mitchell"",""relationship"":""Father"",""phone"":""+44 7911 654321""},""created_at"":""2024-12-12T10:00:00Z"",""updated_at"":""2024-12-12T10:00:00Z"",""profile_complete"":true,""last_active"":""2024-12-12T10:00:00Z""}"
"mission:MO-20241212001","{""id"":""MO-20241212001"",""type"":""freelance"",""crew"":{""id"":""freelancer-001"",""email"":""freelancer@aviation.com"",""name"":""Lisa Anderson"",""role"":""freelancer"",""type"":""freelancer"",""position"":""Flight Attendant""},""aircraft"":{""id"":""AC001"",""immat"":""F-HBCD"",""type"":""Citation CJ3""},""flights"":[{""id"":""1"",""aircraftId"":""AC001"",""flight"":""CRW001"",""departure"":""LFPB"",""arrival"":""EGGW"",""date"":""2024-12-15"",""time"":""09:00""}],""contract"":{""startDate"":""2024-12-15"",""endDate"":""2024-12-15"",""salaryAmount"":450,""salaryCurrency"":""EUR"",""salaryType"":""daily"",""hasPerDiem"":true,""perDiemAmount"":80,""perDiemCurrency"":""EUR""},""status"":""approved"",""createdAt"":""2024-12-10T10:00:00Z"",""approvedAt"":""2024-12-11T14:30:00Z"",""approver"":{""id"":""admin-001"",""name"":""Sophie Laurent"",""email"":""admin@crewtech.fr"",""date"":""2024-12-11T14:30:00Z""}}"
"mission:MO-20241212002","{""id"":""MO-20241212002"",""type"":""extra_day"",""crew"":{""id"":""internal-001"",""email"":""internal@crewtech.fr"",""name"":""Pierre Dubois"",""role"":""internal"",""type"":""internal"",""position"":""Captain""},""aircraft"":{""id"":""AC002"",""immat"":""F-GXYZ"",""type"":""King Air 350""},""flights"":[{""id"":""2"",""aircraftId"":""AC002"",""flight"":""CRW002"",""departure"":""LFMD"",""arrival"":""EGLL"",""date"":""2024-12-18"",""time"":""14:30""}],""contract"":{""startDate"":""2024-12-18"",""endDate"":""2024-12-18"",""salaryAmount"":750,""salaryCurrency"":""EUR"",""salaryType"":""daily"",""hasPerDiem"":false,""ownerApproval"":true,""ownerApprovalComment"":""Owner approval obtained via phone call on 2024-12-10. Confirmed rates and availability for extra day assignment.""},""status"":""pending_approval"",""createdAt"":""2024-12-11T08:00:00Z""}"
"mission:MO-20241212003","{""id"":""MO-20241212003"",""type"":""freelance"",""crew"":{""id"":""freelancer-002"",""email"":""captain@freelance.eu"",""name"":""Marco Rossi"",""role"":""freelancer"",""type"":""freelancer"",""position"":""Captain""},""aircraft"":{""id"":""AC003"",""immat"":""F-HABC"",""type"":""Phenom 300""},""flights"":[{""id"":""3"",""aircraftId"":""AC003"",""flight"":""CRW003"",""departure"":""EGLL"",""arrival"":""LFMD"",""date"":""2024-12-20"",""time"":""16:45""},{""id"":""4"",""aircraftId"":""AC003"",""flight"":""CRW004"",""departure"":""LFMD"",""arrival"":""EGLL"",""date"":""2024-12-22"",""time"":""10:30""}],""contract"":{""startDate"":""2024-12-20"",""endDate"":""2024-12-22"",""salaryAmount"":900,""salaryCurrency"":""EUR"",""salaryType"":""daily"",""hasPerDiem"":true,""perDiemAmount"":120,""perDiemCurrency"":""EUR""},""status"":""rejected"",""createdAt"":""2024-12-09T16:20:00Z"",""rejectedAt"":""2024-12-10T11:15:00Z"",""rejectionReason"":""Captain not available for the requested dates"",""rejectedBy"":{""id"":""admin-001"",""name"":""Sophie Laurent"",""email"":""admin@crewtech.fr""}}"
"notification:freelancer-001:notif-001","{""id"":""notif-001"",""type"":""success"",""title"":""Mission Approved"",""message"":""Your mission CRW001 has been approved"",""category"":""mission"",""createdAt"":""2024-12-11T14:30:00Z"",""read"":false,""metadata"":{""missionId"":""MO-20241212001""}}"
"notification:freelancer-001:notif-002","{""id"":""notif-002"",""type"":""info"",""title"":""Profile Update"",""message"":""Please review your emergency contact information"",""category"":""document"",""createdAt"":""2024-12-10T09:00:00Z"",""read"":true}"
